Hostname,ControlSet,CacheEntryPosition,Path,LastModifiedTimeUTC,Executed
INBANL-PC0EX5K3,1,70,"00000009	07e102d700140000	000a000038390000	8664	Microsoft.WindowsCamera	8wekyb3d8bbwe	",1601-01-01 00:00:00,NA
INBANL-PC0EX5K3,1,71,"00000009	07e102d700280000	000a000038390000	8664	Microsoft.WindowsCamera	8wekyb3d8bbwe	",1601-01-01 00:00:00,NA
INBANL-PC0EX5K3,1,72,C:\Users\vigneshb\AppData\Local\Temp\D19C1F5B-CE68-4A39-AB5D-B51426495039\dismhost.exe,7/16/2016 6:04,NA
INBANL-PC0EX5K3,1,73,C:\Users\vigneshb\AppData\Local\Temp\9B2A36E3-4B4B-4D9E-BE86-F6F121B44EAE\dismhost.exe,7/16/2016 6:04,NA
INBANL-PC0EX5K3,1,74,C:\WINDOWS\system32\winsat.exe,7/16/2016 11:42,NA
INBANL-PC0EX5K3,1,75,C:\Program Files\ConEmu\ConEmu\ConEmuC.exe,12/7/2016 7:09,NA
INBANL-PC0EX5K3,1,76,C:\WINDOWS\system32\mmc.exe,3/4/2017 6:21,NA
INBANL-PC0EX5K3,1,77,C:\WINDOWS\system32\eventvwr.exe,7/16/2016 11:42,NA
INBANL-PC0EX5K3,1,78,C:\WINDOWS\system32\systempropertiesadvanced.exe,7/16/2016 11:42,NA
INBANL-PC0EX5K3,1,79,C:\WINDOWS\system32\FlashPlayerCPLApp.cpl,7/31/2017 15:14,NA
INBANL-PC0EX5K3,1,80,C:\WINDOWS\SysWOW64\DllHost.exe,7/16/2016 11:42,NA
INBANL-PC0EX5K3,1,81,C:\WINDOWS\system32\control.exe,7/16/2016 11:42,NA
INBANL-PC0EX5K3,1,82,C:\Program Files (x86)\Log Parser 2.2\LogParser.exe,3/17/2005 11:47,NA
INBANL-PC0EX5K3,1,83,C:\Windows\DfsrAdmin.exe,10/8/2016 18:15,NA
INBANL-PC0EX5K3,1,84,C:\Windows\HelpPane.exe,6/3/2017 8:52,NA
INBANL-PC0EX5K3,1,85,C:\Windows\hh.exe,7/16/2016 11:42,NA
